n_components,cv_rmse_mean,cv_rmse_se,cv_r2_mean,cv_r2_se
1,2.4110519408927997,0.008870253664744579,0.4209938697336164,0.002498507492907623
2,2.4111072795393014,0.00884091992103828,0.42096764173430296,0.0024779304939720618
3,2.3912845915675516,0.009532380845230514,0.4304486189568216,0.0027555495096801648
4,2.3201098320567106,0.00987014062153322,0.46383422867231267,0.00310806340194791
5,2.1974116828126027,0.018236664198608123,0.5188827735657308,0.006990952429595376
6,1.998957682732014,0.011579239138260469,0.6019926169084007,0.003212894478491492
7,1.9983340612546887,0.011492471245711983,0.6022422263576466,0.0031696351052710827
8,1.9882179954448258,0.011327912766375056,0.6062623532369569,0.003066935638520675
9,1.987971325676833,0.011283802810885202,0.6063592007248586,0.003065901070686003
