,n_obs,n_predictors,RMSE,MAE,R2,Adjusted_R2,RMSLE
Model_1_Main_Effects_OLS,18123.0,9.0,2.023216177013437,1.3928742278928254,0.6015126700720383,0.6013146694112228,0.16677429076547384
Model_2_Enhanced_OLS_log_target,18123.0,15.0,2.0076039530138594,1.3453086940911303,0.607638827207901,0.6073137917193119,0.16073461520133245
