term,coefficient,std_error,t_value,p_value,ci_lower_95,ci_upper_95
const,2.376995544674555,0.005531072335865902,429.7531112115588,0.0,2.366154661055348,2.3878364282937623
whole_weight_c,0.503324722947992,0.012638768981646334,39.82387237862375,0.0,0.47855277723836775,0.5280966686576163
shucked_weight_c,-1.0789695802703043,0.013449026085810698,-80.2265958431491,0.0,-1.1053296272439317,-1.052609533296677
shell_weight_c,1.6937286535417946,0.028119251293760406,60.23377492691738,0.0,1.638615013324472,1.7488422937591173
height_c,1.4799536354042577,0.051133371194884696,28.943009248572878,3.8179229437837356e-183,1.379732395738498,1.5801748750700175
sex_I,-0.05158442291387065,0.0019549855456716006,-26.38608915962585,1.0472905879491562e-152,-0.055416188164964644,-0.04775265766277666
whole_x_shell_c,-0.3550288800120293,0.015084401753333988,-23.53615912766047,5.006794917458594e-122,-0.38459425792489277,-0.32546350209916586
length_c,-0.6599970938109896,0.03867696987555549,-17.064343353022572,3.6679839068952003e-65,-0.7358038277865345,-0.5841903598354447
height_sq_c,-1.7358505578624612,0.11342562111678163,-15.303866452494457,8.715820038583094e-53,-1.958164402863157,-1.5135367128617654
viscera_weight_c,-0.33028919264298984,0.026325618275000084,-12.546303345765914,4.5410311873871866e-36,-0.3818873180322274,-0.27869106725375226
weight_ratio_shell_whole,0.14952669106594246,0.018266937022345345,8.185646607476194,2.7519622866190105e-16,0.11372355447441343,0.1853298276574715
length_x_diameter_c,-7.594041375334672,2.104995820690221,-3.60762776851719,0.0003092170755664322,-11.719826272965712,-3.4682564777036307
diameter_sq_c,2.960230796916088,1.275708150890709,2.3204608317734996,0.020318723014827435,0.45984700945379675,5.460614584378379
sex_M,-0.0021554100312766236,0.0014811198238986662,-1.4552570268103375,0.1456024497872485,-0.00505840002344647,0.0007475799608932226
diameter_c,-0.061739183676609855,0.047645768983998034,-1.2957957231699866,0.19504999858531666,-0.1551247344591952,0.03164636710597549
length_sq_c,0.6900194483746469,0.8873453631578601,0.777622194270588,0.43679431120790435,-1.049174550166976,2.42921344691627
