term,coefficient,std_error,t_value,p_value,ci_lower_95,ci_upper_95
const,3.64425130478192,0.06274946342751182,58.07621461164778,0.0,3.5212625627604197,3.76724004680342
shell_weight,24.62545653695016,0.17402666425613333,141.5039278159483,0.0,24.28436484714177,24.96654822675855
whole_weight_1,-13.298888221978972,0.09848003714208593,-135.04146228937222,0.0,-13.49190877101247,-13.105867672945474
height,19.96214827034548,0.5304879355583244,37.62978746978638,6.52159087504309e-307,18.922393660694183,21.001902879996777
diameter,6.404928161967228,0.24691022207650148,25.94031185951773,1.1092988684766629e-147,5.920984938444396,6.88887138549006
sex_I,-0.6987114369662821,0.020841270466075056,-33.52537639697295,1.5472018380346215e-244,-0.739560258561601,-0.6578626153709632
