model,split,n_obs,n_predictors,rss,mse,rmse,mae,r2,adj_r2
Null mean model,validation,18123,0,186165.9526878828,10.272358477508293,3.205052024150044,2.3491984795029763,-2.4498836359576615e-07,-2.4498836359576615e-07
Full OLS main-effects model,validation,18123,9,74219.5320429086,4.095322631071489,2.023690349601808,1.393015084792756,0.6013258646157316,0.6011277711348914
Regularization-informed best subset OLS,validation,18123,5,75281.17963608833,4.153902755398573,2.0381125472845145,1.4005659979088383,0.5956231685107625,0.5955115670227984
PCR (M=6),validation,18123,6,75242.64388475865,4.151776410349206,2.037590834870732,1.3999455469288433,0.595830165333834,0.5956963047129465
