model,n_obs,n_parameters_including_intercept,AIC,BIC,Durbin_Watson,Breusch_Pagan_LM_pvalue,Breusch_Pagan_F_pvalue,Jarque_Bera_pvalue,Shapiro_pvalue,Residual_Skew,Residual_Kurtosis,Condition_Number
Model_1_Main_Effects_OLS,72492,10,305331.8671433245,305423.7794582238,1.9952106000583598,0.0,0.0,0.0,6.00659443058129e-48,1.4329689697517811,9.606906566026366,153.23877216891847
Model_2_Enhanced_OLS_log_target,72492,16,-62125.82971577163,-61978.7700119328,1.9967475183353633,0.0,0.0,0.0,1.254436478368193e-38,0.36831659283699686,8.180989340745978,5189.643684229632
