model,split,n_obs,n_predictors,rss,mse,rmse,mae,r2,adj_r2
Regularization-informed best subset OLS,train,72492,5,289678.93605108047,3.996012471046191,1.9990028691940867,1.374227302627462,0.602079794571935,0.6020523464988292
Regularization-informed best subset OLS,validation,18123,5,75281.17963608833,4.153902755398573,2.0381125472845145,1.4005659979088383,0.5956231685107625,0.5955115670227984
