alpha,mean_cv_mse,cv_mse_se,mean_cv_rmse,selected_alpha_min,selected_alpha_1se
2.2063763304642796,10.035507205312092,0.05426702586102036,3.1678868675052287,False,False
2.057673950274904,9.408812194590102,0.05409383403096017,3.067378717176948,False,False
1.9189936128207918,8.857273551073336,0.05253763119477159,2.976117193773346,False,False
1.7896598659641922,8.377573952672249,0.05131590106959837,2.8944039028221766,False,False
1.6690427807807804,7.960356252567759,0.05035987771618704,2.8214103304141633,False,False
1.556554883447432,7.597482084311525,0.04961394773180132,2.75635304057944,False,False
1.4516482939104953,7.281873114287629,0.04903365865742585,2.6984946014931417,False,False
1.353812057398244,7.007372971211256,0.04858379728469983,2.647144304946607,False,False
1.26256965578046,6.76862715945938,0.04823664674178581,2.6016585401353844,False,False
1.177476686654052,6.559141026701079,0.04825144254172401,2.5610820031192048,False,False
1.0981186988505331,6.369218446484105,0.04782956139319463,2.523731056686529,False,False
1.0241091738230537,6.203983871091613,0.047467096654739326,2.4907797716963285,False,False
0.9550876430811892,6.060276468553285,0.04717728087112612,2.461762878214164,False,False
0.8907179325043232,5.935288425496,0.04695235662844534,2.4362447384234613,False,False
0.8306865249824337,5.826589012681228,0.04677707948251365,2.4138328468809163,False,False
0.7747010334094091,5.732044534292375,0.04664567607473304,2.3941688608559706,False,False
0.7224887765915041,5.649824803620045,0.04654906230032714,2.3769360116797515,False,False
0.6737954511347997,5.578310487115029,0.04648301864046933,2.3618447212115847,False,False
0.6283838928430032,5.516122040192573,0.0464413740831459,2.3486425952435956,False,False
0.5860329215928913,5.462032380786806,0.046418827139213345,2.337099137988546,False,False
0.546536264061282,5.414991463720816,0.04641439401416721,2.327013421474147,False,False
0.5097015490566029,5.371372412675874,0.0464751436089454,2.3176221462257116,False,False
0.4753493705617494,5.329563202337167,0.046441431745200386,2.308584675149943,False,False
0.44331241392471943,5.293204228273373,0.04641603021310169,2.3006964659149136,False,False
0.41343464094107274,5.261583034253263,0.046397934561900174,2.293814080141035,False,False
0.3855705298591067,5.23407540451063,0.046385845144099117,2.287810176677827,False,False
0.3595843666061394,5.210157113144265,0.04637835080103075,2.2825768581023214,False,False
0.3353495837837683,5.189355271354802,0.04637457515247866,2.2780156433516434,False,False
0.3127481442126371,5.171262941372811,0.046374039422769776,2.2740411037122463,False,False
0.2916699660242213,5.155524456955081,0.04637623170175161,2.2705780006322356,False,False
0.27201238649950366,5.1418407004679265,0.04638023931951901,2.2675627224991874,False,False
0.25367966204312914,5.129940049621697,0.046385841345459394,2.2649370961732465,False,False
0.23658250185762633,5.119585230938773,0.04639276531783871,2.262650046060763,False,False
0.22063763304642792,5.110584468164137,0.04640052255742944,2.260660184141822,False,False
0.20576739502749042,5.07579672461222,0.046736205708657455,2.2529528900117333,False,False
