subset_size,predictors,subset_tuple,rss,r2,adj_r2,aic,bic,cp,cv_rmse_mean,cv_rmse_se,cv_rmse_min_fold,cv_rmse_max_fold,n_parameters_including_intercept
5,shell_weight + height + diameter + sex_I + whole_weight_2,"('shell_weight', 'height', 'diameter', 'sex_I', 'whole_weight_2')",332262.33407955634,0.5435847078310466,0.5435532248348702,316100.72885073867,316155.87623967824,4.584088505626658,2.1411804146182547,0.012186756663341142,2.084162628011276,2.2214920937890597,6
5,whole_weight_1 + height + diameter + sex_I + whole_weight_2,"('whole_weight_1', 'height', 'diameter', 'sex_I', 'whole_weight_2')",360712.12069246825,0.5045043898496304,0.5044702111385586,322056.3359909955,322111.4833799351,4.9765426607460075,2.231936667926079,0.011881258615640182,2.1784127674111646,2.307474009708824,6
5,height + diameter + sex_I + whole_weight + whole_weight_2,"('height', 'diameter', 'sex_I', 'whole_weight', 'whole_weight_2')",390892.68250932434,0.4630465761686934,0.4630095377458372,327881.27569432254,327936.4230832621,5.392872211825521,2.3232182305105207,0.012506410020293209,2.26626283902967,2.4042611009468353,6
6,shell_weight + whole_weight_1 + height + diameter + sex_I + whole_weight,"('shell_weight', 'whole_weight_1', 'height', 'diameter', 'sex_I', 'whole_weight')",288150.82124389417,0.6041789039040888,0.6041461395172973,305776.9109674509,305841.2495878804,3.9756957010329517,1.9940481190096704,0.011182874273952394,1.9483156845685237,2.058972427803824,7
6,shell_weight + whole_weight_1 + height + sex_I + whole_weight + whole_weight_2,"('shell_weight', 'whole_weight_1', 'height', 'sex_I', 'whole_weight', 'whole_weight_2')",288687.991034437,0.6034410155497735,0.6034081900837226,305911.92450289073,305976.26312332024,3.983105757184566,1.9959728224778044,0.01172744070589456,1.947713518027507,2.069267545842042,7
6,shell_weight + whole_weight_1 + height + diameter + sex_I + whole_weight_2,"('shell_weight', 'whole_weight_1', 'height', 'diameter', 'sex_I', 'whole_weight_2')",289396.574002738,0.6024676638654817,0.6024347578295184,306089.6376797162,306153.97630014573,3.9928803939486364,1.9983195993352338,0.011396093963254736,1.9476737325318199,2.069975706559065,7
6,shell_weight + whole_weight_1 + height + diameter + whole_weight + whole_weight_2,"('shell_weight', 'whole_weight_1', 'height', 'diameter', 'whole_weight', 'whole_weight_2')",290942.5411100305,0.6003440315527395,0.6003109497315258,306475.86190524977,306540.2005256793,4.01420643140508,2.003719518815276,0.011442617793088675,1.9556021650546085,2.071245551548896,7
6,shell_weight + whole_weight_1 + diameter + sex_I + whole_weight + whole_weight_2,"('shell_weight', 'whole_weight_1', 'diameter', 'sex_I', 'whole_weight', 'whole_weight_2')",291926.7656539684,0.5989920422156824,0.5989588484825417,306720.67998924793,306785.01860967744,4.027783440508676,2.0067895095040686,0.011198073124405999,1.9643392166967641,2.0649223283111624,7
6,whole_weight_1 + height + diameter + sex_I + whole_weight + whole_weight_2,"('whole_weight_1', 'height', 'diameter', 'sex_I', 'whole_weight', 'whole_weight_2')",316503.4861456536,0.5652319980781445,0.5651960098321416,312580.30171492946,312644.64033535897,4.366810098507975,2.0902673544231996,0.010627915952390338,2.0449620087816487,2.1430711220596645,7
6,shell_weight + height + diameter + sex_I + whole_weight + whole_weight_2,"('shell_weight', 'height', 'diameter', 'sex_I', 'whole_weight', 'whole_weight_2')",321871.1060078867,0.5578587163775277,0.5578221178026262,313799.39368409227,313863.7323045218,4.4408544049450045,2.107449982212438,0.01245838553614142,2.046231902381119,2.1925829586173355,7
7,shell_weight + whole_weight_1 + height + diameter + sex_I + whole_weight + whole_weight_2,"('shell_weight', 'whole_weight_1', 'height', 'diameter', 'sex_I', 'whole_weight', 'whole_weight_2')",286433.9252540241,0.6065373342901603,0.6064993364056621,305345.6882086614,305419.2180605808,3.9521207638700253,1.9881265347528856,0.011267265580514298,1.9426740638980722,2.0539987323023317,8
